loan_amnt,home_ownership,annual_inc,dti,int_rate,tax_liens,loan_status,forty_plus_indicator,credit_age
12000.0,RENT,58000.0,25.16,0.1311,0.0,0,Under Forty,8894
2100.0,RENT,52800.0,23.41,0.1677,0.0,0,Under Forty,5363
28000.0,MORTGAGE,125000.0,25.32,0.1433,0.0,0,Over Forty,11117
6075.0,RENT,22000.0,22.47,0.1531,0.0,1,Under Forty,6977
7000.0,MORTGAGE,77250.0,18.45,0.18489999999999998,0.0,0,Under Forty,8529
21250.0,MORTGAGE,61500.0,32.23,0.08900000000000001,0.0,0,Over Forty,11510
5225.0,MORTGAGE,46410.4,16.88,0.1409,0.0,0,Under Forty,7372
15000.0,MORTGAGE,49000.0,12.66,0.1399,0.0,0,Under Forty,6703
3975.0,MORTGAGE,56000.0,14.21,0.0762,0.0,0,Over Forty,6642
5000.0,RENT,114020.0,24.77,0.1727,0.0,0,Over Forty,7585
15500.0,OWN,81500.0,23.97,0.1114,0.0,0,Under Forty,7250
2000.0,OWN,14340.0,15.82,0.12119999999999999,0.0,1,Under Forty,7889
24000.0,MORTGAGE,100000.0,19.68,0.12119999999999999,0.0,0,Over Forty,11298
30000.0,OWN,250000.0,16.49,0.1531,0.0,0,Under Forty,9534
14000.0,MORTGAGE,42000.0,31.51,0.12119999999999999,0.0,0,Over Forty,8438
18000.0,RENT,61000.0,11.96,0.18489999999999998,0.0,0,Under Forty,4847
20000.0,MORTGAGE,67000.0,21.06,0.08900000000000001,0.0,0,Over Forty,10172
21000.0,RENT,84181.92,34.5,0.08900000000000001,0.0,0,Over Forty,8680
1925.0,MORTGAGE,83000.0,22.77,0.08900000000000001,0.0,0,Under Forty,9016
6000.0,RENT,33696.0,17.91,0.12119999999999999,0.0,0,Under Forty,5301
10375.0,MORTGAGE,67000.0,18.77,0.1409,0.0,0,Under Forty,9381
15300.0,MORTGAGE,82000.0,11.31,0.1114,0.0,0,Over Forty,9138
7300.0,RENT,100000.0,8.1,0.1016,0.0,0,Over Forty,13186
20000.0,MORTGAGE,50000.0,21.07,0.1409,0.0,1,Under Forty,8164
17000.0,MORTGAGE,96000.0,12.78,0.08900000000000001,0.0,0,Under Forty,8164
10000.0,RENT,65000.0,11.32,0.12119999999999999,0.0,0,Under Forty,7585
25000.0,MORTGAGE,180000.0,9.76,0.0762,0.0,0,Under Forty,8529
11450.0,RENT,48000.0,5.05,0.1016,0.0,0,Under Forty,6854
5600.0,RENT,32000.0,32.1,0.1629,0.0,0,Under Forty,8438
7000.0,MORTGAGE,86623.0,15.1,0.1016,0.0,0,Under Forty,11329
3000.0,RENT,65000.0,15.8,0.158,0.0,0,Under Forty,7219
6000.0,RENT,35000.0,7.84,0.1016,0.0,0,Under Forty,14647
3500.0,MORTGAGE,50000.0,25.92,0.1311,0.0,0,Under Forty,9016
25450.0,RENT,57000.0,29.87,0.1629,0.0,1,Under Forty,7099
3500.0,RENT,40000.0,19.63,0.08900000000000001,0.0,0,Under Forty,5546
30000.0,RENT,120000.0,14.4,0.1531,0.0,0,Over Forty,9350
12250.0,RENT,55000.0,26.25,0.158,0.0,0,Under Forty,6124
7350.0,MORTGAGE,98000.0,12.94,0.1016,0.0,0,Under Forty,5242
10000.0,RENT,35000.0,19.17,0.1465,0.0,0,Over Forty,9230
6000.0,OWN,35000.0,1.71,0.1074,0.0,0,Under Forty,7158
13000.0,RENT,65000.0,9.71,0.1311,0.0,0,Under Forty,8985
12000.0,RENT,48000.0,18.5,0.1433,0.0,0,Under Forty,4755
6000.0,RENT,30000.0,8.16,0.1433,0.0,0,Under Forty,4936
7200.0,MORTGAGE,51000.0,17.53,0.12119999999999999,0.0,0,Over Forty,12364
8000.0,RENT,25000.0,19.39,0.1531,0.0,0,Under Forty,6673
14575.0,RENT,96000.0,12.81,0.1399,0.0,0,Under Forty,6003
18000.0,MORTGAGE,100035.0,16.55,0.12119999999999999,0.0,0,Over Forty,7127
7000.0,RENT,40000.0,8.25,0.1629,0.0,0,Under Forty,6793
17825.0,MORTGAGE,75000.0,18.85,0.1409,0.0,0,Over Forty,9442
